X,Y,OBJECTID,joinid
-122.117921546342245,37.649783451744952,6043,ALAM0001964
-122.117920185668027,37.64970832238123,6044,ALAM0001965
-122.117916511937437,37.649638541285697,6045,ALAM0001966
-122.11790288271186,37.649459584292458,6046,ALAM0001967
-122.117628369153863,37.649466473998643,6047,ALAM0001968
-122.117640284271658,37.649790291089118,6048,ALAM0001969
-122.117635954036018,37.649891479208463,6049,ALAM0001970
-122.011053606638598,37.651354397387593,6050,ALAM0001971
-122.086564278418678,37.655533867094334,6051,ALAM0001972
-122.011138331768564,37.65152442231431,6052,ALAM0001973
-122.011192024892011,37.651772883411866,6053,ALAM0001974
-122.01169613806627,37.651982194322841,6054,ALAM0001975
-122.011707348115578,37.651815356593488,6055,ALAM0001976
-122.011700751588364,37.651634063161566,6056,ALAM0001977
-122.011652139634521,37.651454802197406,6057,ALAM0001978
-122.011588374104122,37.651287336741234,6058,ALAM0001979
-122.086493734698081,37.655599496919308,6059,ALAM0001980
-122.086685709377946,37.655652370760379,6060,ALAM0001981
-122.08675850769896,37.655586161772021,6061,ALAM0001982
-122.086937000642024,37.65570678064347,6062,ALAM0001983
-122.086861231860325,37.655770581247396,6063,ALAM0001984
-122.086784902801014,37.65533704596794,6064,ALAM0001985
-122.086639342131889,37.655466482692077,6065,ALAM0001986
-122.08671433839595,37.655404463645141,6066,ALAM0001987
-122.086834277379978,37.655522361168096,6067,ALAM0001988
-122.086907075700935,37.655456152179738,6068,ALAM0001989
-122.087082599082635,37.655574362666755,6069,ALAM0001990
-122.087009771084013,37.655642955757855,6070,ALAM0001991
-122.117437955697085,37.649895363380381,6071,ALAM0001992
-122.11742297209247,37.649461955804668,6072,ALAM0001993
-122.117424702388064,37.649569282696291,6073,ALAM0001994
-122.117143868394805,37.64947656079471,6074,ALAM0001995
-122.117142682189012,37.649576711096415,6075,ALAM0001996
-122.117144806387671,37.649650654254344,6076,ALAM0001997
-122.009732773248857,37.6496135913942,6077,ALAM0001998
-122.009561590894691,37.649404683379487,6078,ALAM0001999
-122.00939347163137,37.649191032340298,6079,ALAM0002000
-122.087184929340992,37.655921420936863,6080,ALAM0002001
-122.087228675962592,37.655839484604599,6081,ALAM0002002
-122.087274649305584,37.655759355909595,6082,ALAM0002003
-122.087414042424086,37.655950022075899,6083,ALAM0002004
-122.087368069081094,37.656030150770903,6084,ALAM0002005
-122.087046941862866,37.656167172377138,6085,ALAM0002006
-122.087095230960131,37.656081696313265,6086,ALAM0002007
-122.087141204303123,37.656001566718999,6087,ALAM0002008
-122.087326615730717,37.656108524888566,6088,ALAM0002009
