year,zip,onebr,twobr,threebr,fourbr,onehw,twohw,threehw,fourhw,city,county
2011,94598,1490,1750,2350,2750,28.65,33.65,45.19,52.88,Walnut Creek,Contra Costa County
2011,94601,1190,1400,1880,2200,22.88,26.92,36.15,42.31,Oakland,Alameda County
2011,94602,1190,1400,1880,2200,22.88,26.92,36.15,42.31,Oakland,Alameda County
2011,94603,1190,1400,1880,2200,22.88,26.92,36.15,42.31,Oakland,Alameda County
2011,94605,1190,1400,1880,2200,22.88,26.92,36.15,42.31,Oakland,Alameda County
2011,94606,1190,1400,1880,2200,22.88,26.92,36.15,42.31,Oakland,Alameda County
2011,94607,1190,1400,1880,2200,22.88,26.92,36.15,42.31,Oakland,Alameda County
2011,94608,1280,1510,2030,2380,24.62,29.04,39.04,45.77,Emeryville,Alameda County
2011,94609,1190,1400,1880,2200,22.88,26.92,36.15,42.31,Oakland,Alameda County
2011,94610,1190,1400,1880,2200,22.88,26.92,36.15,42.31,Oakland,Alameda County
2011,94611,1190,1400,1880,2200,22.88,26.92,36.15,42.31,Oakland,Alameda County
2011,94612,1190,1400,1880,2200,22.88,26.92,36.15,42.31,Oakland,Alameda County
2011,94618,1440,1690,2270,2660,27.69,32.5,43.65,51.15,Oakland,Alameda County
2011,94619,1190,1400,1880,2200,22.88,26.92,36.15,42.31,Oakland,Alameda County
2011,94621,1190,1400,1880,2200,22.88,26.92,36.15,42.31,Oakland,Alameda County
2011,94702,1190,1400,1880,2200,22.88,26.92,36.15,42.31,Berkeley,Alameda County
2011,94703,1190,1400,1880,2200,22.88,26.92,36.15,42.31,Berkeley,Alameda County
2011,94704,1190,1400,1880,2200,22.88,26.92,36.15,42.31,Berkeley,Alameda County
2011,94705,1190,1400,1880,2200,22.88,26.92,36.15,42.31,Berkeley,Alameda County
2011,94706,1420,1670,2250,2630,27.31,32.12,43.27,50.58,Albany,Alameda County
2011,94707,1690,1990,2680,3130,32.5,38.27,51.54,60.19,Berkeley,Alameda County
2011,94708,1230,1450,1950,2280,23.65,27.88,37.5,43.85,Berkeley,Alameda County
2011,94709,1280,1510,2030,2380,24.62,29.04,39.04,45.77,Berkeley,Alameda County
2011,94710,1220,1430,1920,2250,23.46,27.5,36.92,43.27,Berkeley,Alameda County
2011,94720,1190,1400,1880,2200,22.88,26.92,36.15,42.31,Berkeley,Alameda County
2011,94801,1190,1400,1880,2200,22.88,26.92,36.15,42.31,Richmond,Contra Costa County
2011,94803,1320,1550,2080,2440,25.38,29.81,40,46.92,El Sobrante,Contra Costa County
2011,94804,1190,1400,1880,2200,22.88,26.92,36.15,42.31,Richmond,Contra Costa County
2011,94805,1260,1480,1990,2330,24.23,28.46,38.27,44.81,Richmond,Contra Costa County
2011,94806,1190,1400,1880,2200,22.88,26.92,36.15,42.31,San Pablo,Contra Costa County
2011,94901,1330,1560,2100,2450,25.58,30,40.38,47.12,San Rafael,Marin County
2011,94903,1670,1960,2640,3080,32.12,37.69,50.77,59.23,San Rafael,Marin County
2011,94904,1500,1760,2370,2770,28.85,33.85,45.58,53.27,Greenbrae,Marin County
2011,94920,1550,1820,2450,2860,29.81,35,47.12,55,Belvedere Tiburon,Marin County
2011,94925,1550,1820,2450,2860,29.81,35,47.12,55,Corte Madera,Marin County
2011,94930,1760,2070,2780,3260,33.85,39.81,53.46,62.69,Fairfax,Marin County
2011,94933,1550,1820,2450,2860,29.81,35,47.12,55,Forest Knolls,Marin County
2011,94938,1550,1820,2450,2860,29.81,35,47.12,55,Lagunitas,Marin County
2011,94939,1510,1780,2390,2800,29.04,34.23,45.96,53.85,Larkspur,Marin County
2011,94941,1650,1940,2610,3050,31.73,37.31,50.19,58.65,Mill Valley,Marin County
2011,94945,1330,1570,2110,2470,25.58,30.19,40.58,47.5,Novato,Marin County
2011,94946,1370,1610,2170,2530,26.35,30.96,41.73,48.65,Nicasio,Marin County
2011,94947,1710,2010,2700,3160,32.88,38.65,51.92,60.77,Novato,Marin County
2011,94949,1470,1730,2330,2720,28.27,33.27,44.81,52.31,Novato,Marin County
2011,94954,1170,1480,2100,2460,22.5,28.46,40.38,47.31,Petaluma,Sonoma County
2011,94960,1430,1680,2260,2640,27.5,32.31,43.46,50.77,San Anselmo,Marin County
2011,94963,1550,1820,2450,2860,29.81,35,47.12,55,San Geronimo,Marin County
2011,94964,1550,1820,2450,2860,29.81,35,47.12,55,San Quentin,Marin County
2011,94965,1780,2090,2810,3290,34.23,40.19,54.04,63.27,Sausalito,Marin County
2011,94970,1550,1820,2450,2860,29.81,35,47.12,55,Stinson Beach,Marin County
2011,94973,1550,1820,2450,2860,29.81,35,47.12,55,Woodacre,Marin County
2011,95002,1420,1710,2450,2700,27.31,32.88,47.12,51.92,Alviso,Santa Clara County
2011,95035,1220,1430,1920,2250,23.46,27.5,36.92,43.27,Milpitas,Santa Clara County
2011,95134,1790,2150,3090,3390,34.42,41.35,59.42,65.19,San Jose,Santa Clara County
2011,95140,1420,1710,2450,2700,27.31,32.88,47.12,51.92,Mount Hamilton,Santa Clara County
2011,95476,1090,1410,1950,2220,20.96,27.12,37.5,42.69,Sonoma,Sonoma County
2011,95620,1100,1260,1770,2180,21.15,24.23,34.04,41.92,Dixon,Solano County
2012,94002,1380,1640,2220,2750,26.54,31.54,42.69,52.88,Belmont,San Mateo County
2012,94005,1380,1630,2210,2740,26.54,31.35,42.5,52.69,Brisbane,San Mateo County
2012,94010,1280,1520,2060,2550,24.62,29.23,39.62,49.04,Burlingame,San Mateo County
2012,94014,1250,1480,2010,2480,24.04,28.46,38.65,47.69,Daly City,San Mateo County
2012,94015,1450,1720,2330,2890,27.88,33.08,44.81,55.58,Daly City,San Mateo County
2012,94019,1490,1770,2400,2970,28.65,34.04,46.15,57.12,Half Moon Bay,San Mateo County
2012,94022,1470,1630,2310,2860,28.27,31.35,44.42,55,Los Altos,Santa Clara County
2012,94024,2060,2290,3240,4020,39.62,44.04,62.31,77.31,Los Altos,Santa Clara County
2012,94025,1700,2010,2730,3370,32.69,38.65,52.5,64.81,Menlo Park,San Mateo County
2012,94027,1440,1710,2320,2870,27.69,32.88,44.62,55.19,Atherton,San Mateo County
2012,94028,1440,1710,2320,2870,27.69,32.88,44.62,55.19,Portola Valley,San Mateo County
2012,94030,1430,1700,2310,2850,27.5,32.69,44.42,54.81,Millbrae,San Mateo County
2012,94038,1490,1760,2390,2960,28.65,33.85,45.96,56.92,Moss Beach,San Mateo County
2012,94040,1470,1630,2310,2860,28.27,31.35,44.42,55,Mountain View,Santa Clara County
2012,94043,1490,1660,2350,2910,28.65,31.92,45.19,55.96,Mountain View,Santa Clara County
2012,94044,1550,1840,2500,3090,29.81,35.38,48.08,59.42,Pacifica,San Mateo County
2012,94061,1430,1690,2290,2840,27.5,32.5,44.04,54.62,Redwood City,San Mateo County
2012,94062,1290,1530,2070,2570,24.81,29.42,39.81,49.42,Redwood City,San Mateo County
2012,94063,1220,1440,1950,2420,23.46,27.69,37.5,46.54,Redwood City,San Mateo County
2012,94065,1440,1710,2320,2870,27.69,32.88,44.62,55.19,Redwood City,San Mateo County
2012,94066,1470,1740,2360,2920,28.27,33.46,45.38,56.15,San Bruno,San Mateo County
2012,94070,1540,1820,2470,3060,29.62,35,47.5,58.85,San Carlos,San Mateo County
2012,94080,1400,1660,2250,2790,26.92,31.92,43.27,53.65,South San Francisco,San Mateo County
2012,94085,1520,1690,2390,2960,29.23,32.5,45.96,56.92,Sunnyvale,Santa Clara County
2012,94086,1450,1610,2280,2820,27.88,30.96,43.85,54.23,Sunnyvale,Santa Clara County
2012,94087,1500,1670,2370,2930,28.85,32.12,45.58,56.35,Sunnyvale,Santa Clara County
2012,94089,1650,1840,2610,3230,31.73,35.38,50.19,62.12,Sunnyvale,Santa Clara County
2012,94102,930,1100,1490,1850,17.88,21.15,28.65,35.58,San Francisco,San Francisco County
2012,94103,1090,1290,1750,2170,20.96,24.81,33.65,41.73,San Francisco,San Francisco County
2012,94104,1380,1630,2210,2740,26.54,31.35,42.5,52.69,San Francisco,San Francisco County
2012,94105,1380,1630,2210,2740,26.54,31.35,42.5,52.69,San Francisco,San Francisco County
2012,94107,1920,2280,3090,3830,36.92,43.85,59.42,73.65,San Francisco,San Francisco County
2012,94108,1000,1190,1610,2000,19.23,22.88,30.96,38.46,San Francisco,San Francisco County
2012,94109,1200,1420,1930,2380,23.08,27.31,37.12,45.77,San Francisco,San Francisco County
2012,94110,1340,1590,2160,2670,25.77,30.58,41.54,51.35,San Francisco,San Francisco County
