,year,zip,onebr,twobr,threebr,fourbr,onehw,twohw,threehw,fourhw,city,county_x,county_y,vlrhna,totalvl,percentvl,lowrhna,lowtotal,lowpercent,modrhna,modtotal,modpercent,aboverhna,abovetotal,abovepercent,totalrhna,totaltotal,totalpercent
74,2011,94519,1300,1530,2060,2410,25.0,29.42,39.62,46.35,Concord,Contra Costa County,,,,,,,,,,,,,,,,
75,2011,94520,1190,1400,1880,2200,22.88,26.92,36.15,42.31,Concord,Contra Costa County,,,,,,,,,,,,,,,,
76,2011,94521,1270,1490,2000,2340,24.42,28.65,38.46,45.0,Concord,Contra Costa County,,,,,,,,,,,,,,,,
77,2011,94523,1400,1650,2220,2600,26.92,31.73,42.69,50.0,Pleasant Hill,Contra Costa County,,,,,,,,,,,,,,,,
78,2011,94525,1300,1530,2060,2410,25.0,29.42,39.62,46.35,Crockett,Contra Costa County,,,,,,,,,,,,,,,,
79,2011,94526,1300,1530,2060,2410,25.0,29.42,39.62,46.35,Danville,Contra Costa County,,,,,,,,,,,,,,,,
80,2011,94530,1350,1590,2140,2500,25.96,30.58,41.15,48.08,El Cerrito,Contra Costa County,,,,,,,,,,,,,,,,
81,2011,94531,1800,2120,2850,3330,34.62,40.77,54.81,64.04,Antioch,Contra Costa County,,,,,,,,,,,,,,,,
82,2011,94533,1020,1170,1640,2020,19.62,22.5,31.54,38.85,Fairfield,Solano County,,,,,,,,,,,,,,,,
83,2011,94535,1100,1260,1770,2180,21.15,24.23,34.04,41.92,Travis Afb,Solano County,,,,,,,,,,,,,,,,
84,2011,94536,1420,1670,2250,2630,27.31,32.12,43.27,50.58,Fremont,Alameda County,Alameda,1714.0,283.0,17%,926.0,249.0,27%,978.0,1.0,0%,1837.0,2409.0,131%,5455.0,2942.0,54%
85,2011,94538,1470,1730,2330,2720,28.27,33.27,44.81,52.31,Fremont,Alameda County,Alameda,1714.0,283.0,17%,926.0,249.0,27%,978.0,1.0,0%,1837.0,2409.0,131%,5455.0,2942.0,54%
86,2011,94539,1670,1970,2650,3100,32.12,37.88,50.96,59.62,Fremont,Alameda County,Alameda,1714.0,283.0,17%,926.0,249.0,27%,978.0,1.0,0%,1837.0,2409.0,131%,5455.0,2942.0,54%
87,2011,94541,1190,1400,1880,2200,22.88,26.92,36.15,42.31,Hayward,Alameda County,Alameda,851.0,40.0,5%,480.0,19.0,4%,608.0,0.0,0%,1981.0,726.0,37%,3920.0,785.0,20%
88,2011,94542,1320,1550,2080,2440,25.38,29.81,40.0,46.92,Hayward,Alameda County,Alameda,851.0,40.0,5%,480.0,19.0,4%,608.0,0.0,0%,1981.0,726.0,37%,3920.0,785.0,20%
89,2011,94544,1250,1470,1980,2310,24.04,28.27,38.08,44.42,Hayward,Alameda County,Alameda,851.0,40.0,5%,480.0,19.0,4%,608.0,0.0,0%,1981.0,726.0,37%,3920.0,785.0,20%
90,2011,94545,1350,1590,2140,2500,25.96,30.58,41.15,48.08,Hayward,Alameda County,Alameda,851.0,40.0,5%,480.0,19.0,4%,608.0,0.0,0%,1981.0,726.0,37%,3920.0,785.0,20%
91,2011,94546,1220,1430,1920,2250,23.46,27.5,36.92,43.27,Castro Valley,Alameda County,,,,,,,,,,,,,,,,
92,2011,94547,1300,1530,2060,2410,25.0,29.42,39.62,46.35,Hercules,Contra Costa County,,,,,,,,,,,,,,,,
93,2011,94549,1480,1740,2340,2740,28.46,33.46,45.0,52.69,Lafayette,Contra Costa County,,,,,,,,,,,,,,,,
94,2011,94550,1330,1560,2100,2450,25.58,30.0,40.38,47.12,Livermore,Alameda County,Alameda,839.0,52.0,6%,474.0,42.0,9%,496.0,424.0,85%,920.0,732.0,80%,2729.0,1250.0,46%
95,2011,94552,1220,1430,1920,2250,23.46,27.5,36.92,43.27,Castro Valley,Alameda County,,,,,,,,,,,,,,,,
96,2011,94553,1210,1420,1910,2230,23.27,27.31,36.73,42.88,Martinez,Contra Costa County,,,,,,,,,,,,,,,,
97,2011,94555,1630,1920,2580,3020,31.35,36.92,49.62,58.08,Fremont,Alameda County,Alameda,1714.0,283.0,17%,926.0,249.0,27%,978.0,1.0,0%,1837.0,2409.0,131%,5455.0,2942.0,54%
98,2011,94556,1300,1530,2060,2410,25.0,29.42,39.62,46.35,Moraga,Contra Costa County,,,,,,,,,,,,,,,,
99,2011,94558,1090,1420,1960,2230,20.96,27.31,37.69,42.88,Napa,Napa County,,,,,,,,,,,,,,,,
100,2011,94559,1020,1320,1830,2070,19.62,25.38,35.19,39.81,Napa,Napa County,,,,,,,,,,,,,,,,
101,2011,94560,1420,1670,2250,2630,27.31,32.12,43.27,50.58,Newark,Alameda County,Alameda,330.0,0.0,0%,167.0,0.0,0%,158.0,0.0,0%,423.0,444.0,105%,1078.0,444.0,41%
102,2011,94561,1580,1860,2500,2930,30.38,35.77,48.08,56.35,Oakley,Contra Costa County,,,,,,,,,,,,,,,,
103,2011,94563,1300,1530,2060,2410,25.0,29.42,39.62,46.35,Orinda,Contra Costa County,,,,,,,,,,,,,,,,
104,2011,94564,1300,1530,2060,2410,25.0,29.42,39.62,46.35,Pinole,Contra Costa County,,,,,,,,,,,,,,,,
105,2011,94565,1240,1460,1960,2300,23.85,28.08,37.69,44.23,Pittsburg,Contra Costa County,,,,,,,,,,,,,,,,
106,2011,94566,1420,1670,2250,2630,27.31,32.12,43.27,50.58,Pleasanton,Alameda County,Alameda,716.0,182.0,25%,391.0,44.0,11%,407.0,18.0,4%,553.0,1148.0,208%,2067.0,1392.0,67%
107,2011,94568,1680,1980,2660,3110,32.31,38.08,51.15,59.81,Dublin,Alameda County,Alameda,796.0,26.0,3%,446.0,39.0,9%,425.0,14.0,3%,618.0,2638.0,427%,2285.0,2717.0,119%
108,2011,94569,1300,1530,2060,2410,25.0,29.42,39.62,46.35,Port Costa,Contra Costa County,,,,,,,,,,,,,,,,
109,2011,94571,830,1010,1460,1670,15.96,19.42,28.08,32.12,Rio Vista,Solano County,,,,,,,,,,,,,,,,
110,2011,94572,1300,1530,2060,2410,25.0,29.42,39.62,46.35,Rodeo,Contra Costa County,,,,,,,,,,,,,,,,
111,2011,94577,1190,1400,1880,2200,22.88,26.92,36.15,42.31,San Leandro,Alameda County,Alameda,504.0,27.0,5%,270.0,57.0,21%,352.0,0.0,0%,1161.0,14.0,1%,2287.0,98.0,4%
112,2011,94578,1190,1400,1880,2200,22.88,26.92,36.15,42.31,San Leandro,Alameda County,Alameda,504.0,27.0,5%,270.0,57.0,21%,352.0,0.0,0%,1161.0,14.0,1%,2287.0,98.0,4%
113,2011,94579,1470,1730,2330,2720,28.27,33.27,44.81,52.31,San Leandro,Alameda County,Alameda,504.0,27.0,5%,270.0,57.0,21%,352.0,0.0,0%,1161.0,14.0,1%,2287.0,98.0,4%
114,2011,94580,1220,1430,1920,2250,23.46,27.5,36.92,43.27,San Lorenzo,Alameda County,,,,,,,,,,,,,,,,
115,2011,94583,1580,1860,2500,2930,30.38,35.77,48.08,56.35,San Ramon,Contra Costa County,,,,,,,,,,,,,,,,
116,2011,94585,1310,1500,2100,2590,25.19,28.85,40.38,49.81,Suisun City,Solano County,,,,,,,,,,,,,,,,
117,2011,94586,1220,1430,1920,2250,23.46,27.5,36.92,43.27,Sunol,Alameda County,,,,,,,,,,,,,,,,
118,2011,94587,1330,1560,2100,2450,25.58,30.0,40.38,47.12,Union City,Alameda County,Alameda,317.0,0.0,0%,180.0,0.0,0%,192.0,249.0,130%,417.0,73.0,18%,1106.0,322.0,29%
